weekday,produced,defective
1.Monday,73,7
2.Tuesday,75,10
3.Wednesday,86,7
4.Thursday,64,7
5.Friday,70,6
1.Monday,80,9
2.Tuesday,89,9
3.Wednesday,72,6
4.Thursday,72,7
5.Friday,66,5
1.Monday,79,9
2.Tuesday,77,10
3.Wednesday,67,8
4.Thursday,66,7
5.Friday,68,5
1.Monday,79,8
2.Tuesday,74,10
3.Wednesday,87,6
4.Thursday,72,5
5.Friday,60,6
1.Monday,62,9
2.Tuesday,91,10
3.Wednesday,87,6
4.Thursday,69,5
5.Friday,75,5
1.Monday,77,8
2.Tuesday,83,9
3.Wednesday,70,6
4.Thursday,61,5
5.Friday,72,6
1.Monday,81,8
2.Tuesday,78,10
3.Wednesday,66,6
4.Thursday,64,7
5.Friday,66,5
1.Monday,77,9
2.Tuesday,95,10
3.Wednesday,81,6
4.Thursday,77,7
5.Friday,67,4
1.Monday,67,7
2.Tuesday,80,8
3.Wednesday,69,6
4.Thursday,68,5
5.Friday,70,4
1.Monday,69,8
2.Tuesday,84,10
3.Wednesday,76,6
4.Thursday,61,6
5.Friday,75,5
1.Monday,80,7
2.Tuesday,87,10
3.Wednesday,69,8
4.Thursday,81,5
5.Friday,74,5
1.Monday,60,7
2.Tuesday,92,10
3.Wednesday,74,8
4.Thursday,65,5
5.Friday,63,5
1.Monday,66,9
2.Tuesday,79,9
3.Wednesday,66,6
4.Thursday,69,7
5.Friday,63,5
1.Monday,75,9
2.Tuesday,94,10
3.Wednesday,75,8
4.Thursday,64,5
5.Friday,57,5
1.Monday,69,9
2.Tuesday,90,8
3.Wednesday,70,7
4.Thursday,67,5
5.Friday,62,5
1.Monday,61,8
2.Tuesday,81,9
3.Wednesday,76,6
4.Thursday,70,6
5.Friday,72,4
1.Monday,72,7
2.Tuesday,74,10
3.Wednesday,67,6
4.Thursday,71,7
5.Friday,69,6
1.Monday,62,7
2.Tuesday,79,9
3.Wednesday,69,6
4.Thursday,77,6
5.Friday,70,6
1.Monday,76,8
2.Tuesday,87,9
3.Wednesday,83,8
4.Thursday,69,6
5.Friday,66,5
1.Monday,68,8
2.Tuesday,95,9
3.Wednesday,80,8
4.Thursday,70,7
5.Friday,71,5
1.Monday,59,7
2.Tuesday,79,10
3.Wednesday,67,8
4.Thursday,76,7
5.Friday,67,6
1.Monday,69,7
2.Tuesday,86,9
3.Wednesday,69,7
4.Thursday,82,6
5.Friday,55,5
1.Monday,80,7
2.Tuesday,77,8
3.Wednesday,74,7
4.Thursday,79,6
5.Friday,66,5
1.Monday,60,7
2.Tuesday,73,8
3.Wednesday,77,7
4.Thursday,76,6
5.Friday,59,5
1.Monday,80,8
2.Tuesday,78,10
3.Wednesday,77,8
4.Thursday,71,7
5.Friday,58,5
1.Monday,79,8
2.Tuesday,75,9
3.Wednesday,79,8
4.Thursday,68,6
5.Friday,55,4
1.Monday,72,8
2.Tuesday,85,9
3.Wednesday,78,6
4.Thursday,66,6
5.Friday,53,6
1.Monday,69,7
2.Tuesday,87,10
3.Wednesday,76,8
4.Thursday,61,5
5.Friday,74,4
1.Monday,81,7
2.Tuesday,74,10
3.Wednesday,86,7
4.Thursday,68,5
5.Friday,75,5
1.Monday,70,8
2.Tuesday,82,9
3.Wednesday,81,8
4.Thursday,62,5
5.Friday,67,5
1.Monday,77,8
2.Tuesday,77,9
3.Wednesday,73,6
4.Thursday,77,6
5.Friday,54,5
1.Monday,72,7
2.Tuesday,93,8
3.Wednesday,67,6
4.Thursday,62,7
5.Friday,58,6
1.Monday,81,8
2.Tuesday,73,9
3.Wednesday,87,6
4.Thursday,80,6
5.Friday,60,5
1.Monday,64,7
2.Tuesday,88,9
3.Wednesday,81,7
4.Thursday,74,6
5.Friday,56,6
1.Monday,67,8
2.Tuesday,74,10
3.Wednesday,74,7
4.Thursday,61,5
5.Friday,68,5
1.Monday,69,9
2.Tuesday,74,10
3.Wednesday,76,6
4.Thursday,63,5
5.Friday,59,4
1.Monday,75,8
2.Tuesday,91,8
3.Wednesday,75,7
4.Thursday,69,7
5.Friday,54,4
1.Monday,63,8
2.Tuesday,83,10
3.Wednesday,82,7
4.Thursday,76,5
5.Friday,53,4
1.Monday,73,8
2.Tuesday,89,9
3.Wednesday,84,8
4.Thursday,78,7
5.Friday,73,6
1.Monday,68,8
2.Tuesday,90,8
3.Wednesday,84,7
4.Thursday,70,6
5.Friday,58,6
1.Monday,68,8
2.Tuesday,78,8
3.Wednesday,83,8
4.Thursday,76,7
5.Friday,55,6
1.Monday,65,8
2.Tuesday,84,9
3.Wednesday,86,6
4.Thursday,69,7
5.Friday,70,4
1.Monday,79,7
2.Tuesday,81,10
3.Wednesday,70,8
4.Thursday,62,5
5.Friday,57,5
1.Monday,80,7
2.Tuesday,76,10
3.Wednesday,67,7
4.Thursday,62,6
5.Friday,55,4
1.Monday,62,9
2.Tuesday,81,8
3.Wednesday,84,8
4.Thursday,77,5
5.Friday,70,4
1.Monday,69,9
2.Tuesday,76,8
3.Wednesday,72,8
4.Thursday,74,6
5.Friday,74,5
1.Monday,65,7
2.Tuesday,93,9
3.Wednesday,80,7
4.Thursday,69,5
5.Friday,74,6
1.Monday,74,8
2.Tuesday,83,9
3.Wednesday,67,6
4.Thursday,68,6
5.Friday,73,4
1.Monday,81,7
2.Tuesday,85,9
3.Wednesday,81,6
4.Thursday,80,5
5.Friday,67,6
1.Monday,60,8
2.Tuesday,85,8
3.Wednesday,80,8
4.Thursday,74,7
5.Friday,73,6
1.Monday,78,7
2.Tuesday,88,9
3.Wednesday,80,6
4.Thursday,71,7
5.Friday,71,6
1.Monday,77,7
2.Tuesday,73,8
3.Wednesday,81,6
4.Thursday,63,7
5.Friday,75,5
1.Monday,73,8
2.Tuesday,95,10
3.Wednesday,67,8
4.Thursday,66,5
5.Friday,64,5
1.Monday,59,9
2.Tuesday,91,10
3.Wednesday,85,8
4.Thursday,73,6
5.Friday,72,5
1.Monday,71,9
2.Tuesday,84,9
3.Wednesday,77,7
4.Thursday,73,7
5.Friday,73,6
1.Monday,67,7
2.Tuesday,79,8
3.Wednesday,72,7
4.Thursday,80,5
5.Friday,62,6
1.Monday,79,8
2.Tuesday,85,10
3.Wednesday,87,6
4.Thursday,64,7
5.Friday,58,6
1.Monday,71,8
2.Tuesday,91,10
3.Wednesday,81,8
4.Thursday,71,6
5.Friday,60,6
1.Monday,59,8
2.Tuesday,92,9
3.Wednesday,86,7
4.Thursday,81,5
5.Friday,61,5
1.Monday,63,7
2.Tuesday,87,8
3.Wednesday,78,8
4.Thursday,82,6
5.Friday,67,5
1.Monday,78,9
2.Tuesday,81,8
3.Wednesday,69,7
4.Thursday,63,6
5.Friday,66,4
1.Monday,75,9
2.Tuesday,91,8
3.Wednesday,72,6
4.Thursday,79,7
5.Friday,58,4
1.Monday,65,8
2.Tuesday,83,10
3.Wednesday,72,7
4.Thursday,64,6
5.Friday,69,5
1.Monday,72,8
2.Tuesday,92,9
3.Wednesday,71,7
4.Thursday,71,7
5.Friday,56,6
1.Monday,67,9
2.Tuesday,86,10
3.Wednesday,80,8
4.Thursday,80,7
5.Friday,69,6
1.Monday,67,9
2.Tuesday,79,8
3.Wednesday,71,7
4.Thursday,83,6
5.Friday,62,6
1.Monday,60,8
2.Tuesday,84,8
3.Wednesday,86,6
4.Thursday,70,7
5.Friday,65,4
1.Monday,59,7
2.Tuesday,82,9
3.Wednesday,68,8
4.Thursday,83,7
5.Friday,73,4
1.Monday,70,9
2.Tuesday,90,9
3.Wednesday,74,7
4.Thursday,77,6
5.Friday,66,6
1.Monday,63,8
2.Tuesday,81,10
3.Wednesday,75,6
4.Thursday,68,5
5.Friday,74,6
1.Monday,67,7
2.Tuesday,93,10
3.Wednesday,80,6
4.Thursday,62,6
5.Friday,59,5
1.Monday,79,8
2.Tuesday,86,9
3.Wednesday,79,7
4.Thursday,81,7
5.Friday,59,6
1.Monday,72,8
2.Tuesday,94,10
3.Wednesday,74,6
4.Thursday,64,6
5.Friday,73,4
1.Monday,60,8
2.Tuesday,91,8
3.Wednesday,68,7
4.Thursday,69,7
5.Friday,74,4
1.Monday,76,7
2.Tuesday,85,10
3.Wednesday,87,6
4.Thursday,83,7
5.Friday,62,4
1.Monday,75,7
2.Tuesday,93,9
3.Wednesday,72,6
4.Thursday,65,5
5.Friday,57,6
1.Monday,60,7
2.Tuesday,92,10
3.Wednesday,73,8
4.Thursday,74,7
5.Friday,53,5
1.Monday,74,9
2.Tuesday,73,9
3.Wednesday,81,8
4.Thursday,82,7
5.Friday,68,5
1.Monday,73,7
2.Tuesday,85,10
3.Wednesday,73,7
4.Thursday,71,7
5.Friday,74,6
1.Monday,68,8
2.Tuesday,92,8
3.Wednesday,86,6
4.Thursday,64,5
5.Friday,72,6
1.Monday,61,7
2.Tuesday,94,10
3.Wednesday,83,7
4.Thursday,69,5
5.Friday,66,4
1.Monday,78,8
2.Tuesday,88,9
3.Wednesday,73,7
4.Thursday,61,6
5.Friday,73,6
1.Monday,78,8
2.Tuesday,84,10
3.Wednesday,75,6
4.Thursday,76,6
5.Friday,74,5
1.Monday,75,9
2.Tuesday,80,9
3.Wednesday,77,6
4.Thursday,67,5
5.Friday,67,4
1.Monday,67,9
2.Tuesday,80,9
3.Wednesday,76,7
4.Thursday,82,7
5.Friday,70,4
1.Monday,75,9
2.Tuesday,77,8
3.Wednesday,69,7
4.Thursday,68,6
5.Friday,69,4
1.Monday,65,7
2.Tuesday,89,10
3.Wednesday,87,8
4.Thursday,81,7
5.Friday,67,4
1.Monday,69,7
2.Tuesday,82,8
3.Wednesday,77,8
4.Thursday,68,5
5.Friday,72,6
1.Monday,66,8
2.Tuesday,81,10
3.Wednesday,79,6
4.Thursday,72,6
5.Friday,75,6
1.Monday,59,9
2.Tuesday,79,8
3.Wednesday,79,6
4.Thursday,82,6
5.Friday,70,5
1.Monday,77,8
2.Tuesday,91,9
3.Wednesday,68,8
4.Thursday,72,7
5.Friday,64,5
1.Monday,76,9
2.Tuesday,80,8
3.Wednesday,80,7
4.Thursday,71,7
5.Friday,57,4
1.Monday,67,7
2.Tuesday,80,10
3.Wednesday,65,7
4.Thursday,73,7
5.Friday,75,6
1.Monday,59,8
2.Tuesday,87,10
3.Wednesday,68,7
4.Thursday,63,5
5.Friday,62,5
1.Monday,61,8
2.Tuesday,82,9
3.Wednesday,73,8
4.Thursday,82,6
5.Friday,71,6
1.Monday,77,7
2.Tuesday,95,9
3.Wednesday,79,7
4.Thursday,66,6
5.Friday,57,6
1.Monday,80,8
2.Tuesday,94,10
3.Wednesday,73,8
4.Thursday,67,6
5.Friday,61,6
1.Monday,70,9
2.Tuesday,82,10
3.Wednesday,80,7
4.Thursday,80,5
5.Friday,62,6
1.Monday,79,7
2.Tuesday,76,10
3.Wednesday,73,7
4.Thursday,69,5
5.Friday,70,6
1.Monday,62,8
2.Tuesday,73,10
3.Wednesday,79,7
4.Thursday,78,6
5.Friday,55,5
